- Recover from Injury	- 怪我からの回復
's injury, but you manage to pick your way across the crags to the mouth of the cave.	的伤势，但你们成功穿越岩地抵达洞穴入口。
's condition has not changed.	的状况没有变化。
's sales efforts	的销售业绩
is in a nexus. Warding is prevented.	处于能量节点中。防护被阻止。
is cloaked in shadow. Evasion is improved.	笼罩在阴影中。闪避率提升。
is dazed. Accuracy is reduced.	陷入眩晕。命中率降低。
is invigorated. Damage is improved.	充满活力。伤害提高。
is guided by grace. Accuracy is improved.	受恩典指引。精准度提升。
is enraged, and inflicts risk.	陷入狂暴，会造成风险。
is focused. Blasts are more powerful.	高度专注。冲击波威力更强。
is in pain. Defense and healing are reduced.	承受痛苦。防御力和治疗效果下降。
is poisoned.	中毒了。
is invulnerable!	无敌！
is entangled. Movement and dodging are reduced.	被缠绕。移动和闪避能力下降。
Your party is full, so your new recruit will wait at the entrance until you are ready to leave.	队伍已满，新成员将在入口等候直至你们准备离开。
If you share alignment with party members,{LF}your reckless actions are less likely to fumble!	若与队友阵营一致，{LF}鲁莽行动更不容易失手！
Position of party members' inventory bars	队员物品栏位置
Party was not defined. Using default party.	未定义队伍。使用默认队伍。
Disable follow mode to move and position party members individually.	禁用跟随模式可单独移动和安置队员。
Thank you for playing Bastard Bonds	感谢游玩《私生子之契》
help Bato inside and light one of the fire pits. {LF}{LF} ”I'll be fine,” Bato says. ”Just need a good rest, I think. You figure there's anything useful still about? Place looks pretty picked-over.”	扶巴托进去并点燃一处篝火。{LF}{LF}“我没事，”巴托说。“好好休息就行。你觉得这儿还能找到有用的东西吗？这地方像是被搜刮干净了。”
Hunt{LF}	狩猎{LF}
You have to level up bandmates if you expect them to trust you.	想让乐队成员信任你，就得先帮他们升级。
is dead.{LF}Justice has been served.	已死亡。{LF}正义已得伸张。
The power of your Healing Aura is improved.{LF}Whenever you fully ward a spell, you regenerate some hit points.	治疗光环效果增强。{LF}每当你完全抵御法术时，会恢复部分生命值。
You have fewer hit points.	你的生命值减少了。
Dramatically increased hit points, as well as the effects of Dauntless. Special music for combat.	大幅提升生命值与无畏效果。配备特殊战斗音乐。
Fight{LF}	战斗{LF}
Force{LF}	力量{LF}
Blast{LF}	爆裂{LF}
The BLAST skill ”Imarcus” allows you to heal allies from a great distance.	爆裂技能“伊马库斯”可以让你从远距离治疗盟友。
BLAST spells attack from a range and apply status effects to both enemies and allies.{LF}Improving BLAST grants 2hp.	爆裂法术可从远处攻击，并对敌人和盟友施加状态效果。{LF}提升爆裂技能可获得2点生命值。
Toggle Full Screen	切换全屏
Played Heroes and Events{LF}{LF}	已玩英雄与事件{LF}{LF}
Peregrine can disable some mechanisms, but has poor combat abilities.{LF}{LF}Recommendation : split your points between GUARD and WARD evenly so you fight on the front line while keeping Peregrine alive.	游隼可以禁用一些机关，但战斗能力较差。{LF}{LF}推荐：将点数平均分配给守卫和结界，这样你可以在前线战斗的同时保住游隼的性命。
Trying to remove effect at point	正在尝试移除该点的效果
When you consume a potion, it affects all party members.	当你使用药水时，它会影响到所有队员。
A porter's extra inventory space is available even while exploring!{LF}You can hire up to three of them at once.	搬运工的额外物品栏空间即使在探索时也可用！{LF}你最多可以同时雇佣三名搬运工。
Most nonhuman creatures are vulnerable to a particular magic vein.	大多数非人生物都对特定的魔法脉络有弱点。
Borgnina has solid defense and can heal wounds.{LF}{LF}Recommendation : focus on FIGHT, HUNT, or a combination of the two in order to maximize your damage output, while Borgnina defends and heals.	博格尼娜拥有坚实的防御力并能治疗伤口。{LF}{LF}推荐：专注于战斗、狩猎或两者结合，以最大化你的伤害输出，同时让博格尼娜负责防御和治疗。
Magic{LF}	魔法{LF}
Loading a map will discard current map!	加载地图将丢弃当前地图！
Parsing map inclusions {LF}	解析地图包含项 {LF}
Once you have secured the marina, you	一旦你确保了码头区的安全，你
Back to Main Menu	返回主菜单
Metrics Data Loading, please wait{LF}	正在加载指标数据，请稍候{LF}
Moria has powerful attacks, but her defense is lacking.{LF}{LF}Recommendation : split your points between GUARD and WARD evenly so you fight on the front line while keeping Moria's health up.	莫莉亚攻击力强大，但防御力不足。{LF}{LF}推荐：将点数平均分配给守卫和结界，这样你可以在前线战斗的同时维持莫莉亚的生命值。
Utility skills can improve the success rate of ransom and recruit attempts.	实用技能可以提高勒索和招募尝试的成功率。
Utility{LF}	实用{LF}
You can dodge attacks more frequently.	你可以更频繁地闪避攻击。
With the death of the Leviathan, the seas and skies surrounding the island went eerily calm, as though mourning the loss of their master.{LF}{LF}A few weeks of searching eventually turned up a ship in the Miser's Purse that could be made seaworthy with a little work, so you relocated your stronghold one last time and made it your project.{LF}{LF}When the work was complete, your band piled on and nervously set out into the calm sea, and before long, the island of Lukatt was a distant speck on the horizon as you sailed for the Orc Nation of Tsarath.	随着利维坦的死亡，岛屿周围的海面和天空变得诡异的平静，仿佛在哀悼它们主人的逝去。{LF}{LF}经过数周的搜寻，最终在守财奴的钱袋里找到了一艘船，稍加修理便可航行。于是你将据点最后一次迁移至此，并将其作为你的项目。{LF}{LF}当工作完成后，你的团队挤上船，紧张地驶入平静的海面。不久，当你向兽人国度察拉斯航行时，卢卡特岛便成了地平线上的一个小点。
Leviathan's power focuses on	利维坦的力量集中于
Leviathan thrashes at	利维坦猛烈攻击
Leviathan thrashes	利维坦猛烈挣扎
Leviathan thrashes, but	利维坦猛烈挣扎，但
Leviathan hurls brine at	利维坦向……投掷盐水
Leviathan hurls brine, but	利维坦投掷盐水，但
You can safely use a reckless attack with the SHIFT key when you have no risk!	当你没有风险时，可以安全地使用SHIFT键进行鲁莽攻击！
Risk Zero! Hold SHIFT when acting for an extra turn!	风险为零！行动时按住SHIFT键可获得额外回合！
Labour{LF}	劳力{LF}
Leftie has excellent offensive capabilities, but poor defense.{LF}{LF}Recommendation : split your points between GUARD and WARD evenly so you can fight on the front line while keeping Leftie's health up.	左撇子拥有出色的进攻能力，但防御力差。{LF}{LF}推荐：将点数平均分配给守卫和结界，这样你可以在前线战斗的同时维持左撇子的生命值。
Your level has increased!{LF}Spend available skill points before moving on.	你的等级提升了！{LF}在继续前进之前，请分配可用的技能点。
Gain additional maximum hit points equal to your level.	获得等同于你等级的额外最大生命值。
Logus leads you to a secluded cove, and there, anchored in the still water, sits an impressive schooner.{LF}{LF}After a day of loading supplies and preparing the ship for the voyage, your crew rows the boat out into the calm shallows, and Logus gives the order to set sail, bound for the Orc Nation of Tsarath.{LF}{LF}The wind fills the sails and the shore drifts further away, as you finally leave the foresaken island of Lukatt behind you.	洛格斯带你来到一个僻静的小海湾，那里，一艘令人印象深刻的纵帆船停泊在平静的水面上。{LF}{LF}经过一天的物资装载和航行准备后，你的船员将船划入平静的浅滩，洛格斯下令启航，前往兽人国度察拉斯。{LF}{LF}风帆鼓满，海岸渐远，你终于将遭遗弃的卢卡特岛抛在身后。
Load Game	加载游戏
Rosaline has good defense, and sometimes forces enemies to fumble.{LF}{LF}Recommendation : split your points between BLAST and WARD and support Rosaline from afar or heal her as necessary.	罗莎琳防御力良好，有时能迫使敌人失误。{LF}{LF}推荐：将点数分配给爆裂和结界，从远处支援罗莎琳或在必要时治疗她。
Ward{LF}	结界{LF}
The WARD skill ”Healing Aura” offers basic, short-range healing for all nearby allies.	结界技能“治疗光环”为所有附近的盟友提供基础、短距离的治疗效果。
Submit to your loving lord!	臣服于你敬爱的主君！
avoided a fumble due to Luck of the Devil! Risk reduced!	因恶魔的幸运而避免了失误！风险降低！
Any character you have created previously can turn up at random.	你之前创建的任何角色都可能随机出现。
Move Rate :	移动速率：
Your movement rate increases by one.{LF}You can take another action immediately after using a dash action.	你的移动速率增加1点。{LF}使用冲刺动作后，你可以立即执行另一个动作。
Some bandmates can only be found by making specific character creation choices.	一些队友只能通过做出特定的角色创建选择才能找到。
Some special scenarios can only be found if the people involved trust you.	一些特殊场景只有在相关人员信任你的情况下才能触发。
Carry Load :	负重：
is no longer affected by	不再受……影响
forever.{LF}{LF}You will never be able to return home. The reality of this is a bitter draught to swallow.{LF}{LF}Still, you are exhausted, and sleep comes quickly.|In the morning,	永远。{LF}{LF}你将永远无法回家。这个现实如同一剂苦药，难以下咽。{LF}{LF}尽管如此，你已精疲力尽，很快就睡着了。|到了早晨，
Something is preventing this door from opening.	有东西阻止这扇门打开。
Value. Restores HP immediately. For consumables.	价值。立即恢复生命值。适用于消耗品。
Dismissed bandmates will not appear again in your current playthrough.	被解雇的队友在你当前的游戏进程中不会再次出现。
DODGE is used to entirely avoid damage from both weapons and magic, and improves combat initiative. {LF}Improving DODGE grants 3hp.	闪避用于完全躲避武器和魔法造成的伤害，并能提升战斗先攻。{LF}提升闪避技能可获得3点生命值。
has recovered!	已恢复！
Create your appearance	创建你的外观
dropped armour!	掉落了护甲！
An athletic man with a bandana tied over his forehead steps up to the bars and begins silently working the lock open. He has a broad grin, but his eyebrows are covered so his expression is difficult to read.{LF}{LF}”I broke in to raid their supplies, but they ain't got shit right now. Saw this key on the desk though, and thought a prison break sounded like fun. You agree, of course.”{LF}{LF}Quiet as a whisper, the door swings open. The man is clearly an accomplished burglar, and seems dressed for the occasion.{LF}{LF}”I'm Peregrine, by the way. Ready to roll?”	一位头戴印花头巾、体格健壮的男子走到铁栏前，开始悄无声息地撬锁。他咧嘴笑着，但额头被头巾遮住，让人难以看清他的表情。{LF}{LF}“我闯进来是想偷他们的物资，可惜现在啥都没有。不过看到桌上这把钥匙，就觉得越狱听起来挺有意思。你肯定也这么想吧。”{LF}{LF}门悄无声息地打开了。这人显然是个老练的窃贼，连穿着都像是为这场合准备的。{LF}{LF}“顺便说下，我叫游隼。准备好开溜了吗？”
Percentage. Increased damage when scoring a critical hit.	百分比。造成暴击时伤害提升。
Percentage. Increased chance of scoring a critical hit.	百分比。暴击发生率提升。
Percentage. Restores HP per-turn when ending a turn. For equipment.	百分比。回合结束时回复生命值。适用于装备。
Percentage. Increases user's per-turn risk.	百分比。使用者每回合风险值增加。
Percentage. Increased chance of evading enemy attack.	百分比。闪避敌人攻击的几率提升。
Percentage. Reduces physical damage received.	百分比。受到的物理伤害减免。
Percentage. Reduces Lux Damage. Half extra damage from Pox and Max.	百分比。减免光耀伤害。对疫病与巨力伤害减半。
Percentage. Reduces Max Damage. Half extra damage from Lux and Nix.	百分比。减免巨力伤害。对光耀与暗蚀伤害减半。
Percentage. Reduces Nix Damage. Half extra damage from Max and Rex.	百分比。减免暗蚀伤害。对巨力与烈怒伤害减半。
Percentage. Reduces Pox Damage. Half extra damage from Rex and Lux.	百分比。减免疫病伤害。对烈怒与光耀伤害减半。
Percentage. Reduces Rex Damage. Half extra damage from Nix and Pox.	百分比。减免烈怒伤害。对暗蚀与疫病伤害减半。
Percentage. Increases the gold value for selling or transmuting the item.	百分比。提升物品出售或转化时的金币价值。
Percentage. Saps the user's strength at the end of each turn. For equipment.	百分比。每回合结束时消耗使用者体力。适用于装备。
Percentage. Adds to the intensity of the user's light emission.	百分比。增强使用者的发光强度。
Percentage. Adds to the user's physical damage multiplier.	百分比。提升使用者的物理伤害倍率。
Percentage. Adds to the user's magical damage multiplier.	百分比。提升使用者的魔法伤害倍率。
Percentage. Reduces magical damage received.	百分比。受到的魔法伤害减免。
Percentage. Increases target's risk when struck with weapon.	百分比。目标被武器击中时风险值增加。
Percentage. Increases target's risk when struck with magic.	百分比。目标被魔法击中时风险值增加。
Appraisers improve prices in your stronghold and help unwanted items to sell faster.	鉴定师能提高据点内物品售价，并加速滞销品出手。
pick your way across the crags to the mouth of the cave.	沿着嶙峋岩壁艰难前行，抵达洞穴入口。
Needs a precious key. You have	需要一把珍贵钥匙。您当前持有
You can have conversations with your bandmates at your stronghold.	您可以在据点与乐队成员交谈。
Stronghold service providers need a place to sleep too!{LF}You won't be able to recruit more allies if you have no vacancies in your stronghold!	据点服务人员也需要住宿！{LF}若据点已满员，将无法招募更多盟友！
seems unsurprised. Though there were a number of injuries, almost everybody appears to be alive and accounted-for.{LF}{LF}”It's like the island didn't want to kill us,”	似乎并不意外。虽有多人受伤，但几乎全员生还且悉数在场。{LF}{LF}“仿佛这座岛并不想取我们性命。”
seems unsurprised. Though there were a number of injuries, almost everybody appears to be alive and accounted-for. ”Except for your zombie,”	似乎并不意外。虽有多人受伤，但几乎全员生还且悉数在场。“除了你那具僵尸。”
A hush falls over the assembly, and the judge speaks, {LF}{LF}”Take record of the defendant's likeness for the court archives.”	庭内霎时肃静，法官宣示：{LF}{LF}“将被告容貌录入法庭档案。”
You have a chance to heal incapacitated bandmates{LF}and sell items after gaining any amount of experience.	获得任意经验值后，可有机会治疗昏迷的乐队成员{LF}并出售物品。
damage from a violent aura!	狂暴气息造成的伤害！
Some enemies will never hesitate.	某些敌人从不犹豫。
Results :	战斗结果：
You deal dramatically increased damage to bloodied enemies.	对流血状态敌人造成巨额额外伤害。
Can't find a key? Hire a locksmith, and you can buy whatever keys you need.	找不到钥匙？雇佣锁匠即可购买所需钥匙。
Personal light level increases dramatically.	个人光照等级大幅提升。
Skills that improve negotiations only apply for the person who has the skill!	提升谈判能力的技能仅对技能持有者生效！
is not happy.	面露不悦。
recoils from the attack! Initiative lost!	遭攻击后踉跄后退！失去先手权！
Attackers generate more risk when attacking you.	攻击者攻击您时会积累更多风险值。
Your offensive spells explode, damaging enemies in a tight radius.	您的攻击法术会产生爆炸，对狭小范围内的敌人造成伤害。
Chaotic{LF}You understand the meaninglessness of rules, and act on your own conscience.{LF}You are not comfortable in close company with law-abiding sheep.	混沌{LF}你洞悉规则的无意义性，仅凭良知行事。{LF}与循规蹈矩的绵羊为伍令你不适。
Chaotic people contribute their second-highest skill as manpower.	混沌阵营者以其第二高的技能值作为人力贡献。
Scrolling text for recent combat results	近期战斗结果的滚动文本
You can gain up to two skills at first level, either in the same trait, or in two traits that share an axis.{LF}You will have more points to spend each time you gain a level.	首级时可习得至多两项技能，可选自同系或共享轴心的两系。{LF}每次升级都会获得更多技能点。
HP Maximum :	生命上限：
Tell the court I have committed	向法庭承认罪行
Tell the court I have not committed	向法庭申明无罪
, the court has deliberated upon your fate.”	法庭已就你的命运作出裁决。”
Deleted map will not be recoverable!	已删除的地图将无法恢复！
Eliminates the user's risk.	消除使用者的风险值。
The indicated prop is not a default light source. Proceed manually.	指定道具非默认光源。请手动操作。
you take some time to repair the Zombie using parts of the dead wolf's body. It is far from perfect, if a zombie could ever be called perfect, but it seems serviceable enough.{LF}{LF}	你花费时间用死狼的尸块修复僵尸。虽远称不上完美——如果僵尸也能用完美形容的话——但至少勉强能用。{LF}{LF}
Log during death has failed.	死亡日志记录失败。
Your carrying load increases by one. Stacks with 'ExtraPockets' and 'MagicBag'.	负重上限+1。可与“额外口袋”“魔法行囊”叠加。
Your carrying load increases by one. Stacks with 'Mule' and 'ExtraPockets'.	负重上限+1。可与“骡马”“额外口袋”叠加。
Your carrying load is maximized at five.	最大负重上限固定为5。
Sometimes it just gets to be too much and you need to punch something. {LF}You deal extra damage with physical attacks.	有时情绪积压过多，唯有重击某物才能宣泄。{LF}物理攻击造成额外伤害。
Bandmates won't trust you if you don't talk to them on occasion.	若不常与乐队成员交流，他们会逐渐失去对你的信任。
Have a chat with your quartermaster if you aren't sure what to do next.	若不知后续行动，不妨与军需官聊聊。
Next service requires{LF}	下次服务需{LF}
What Next?	后续行动？
Raises base physical damage for you and all allies.	提升您与全体盟友的基础物理伤害。
Whether you stick to your story influences the availability of party members and personal traits, as well as the player's alignment.	是否坚持自身叙事将影响可选队友、个人特性及玩家阵营倾向。
Reduces the damage you receive from a failed thwart attempt.{LF}Increases your manpower contribution by one thousand points.	减少你因阻止失败而受到的伤害。{LF}增加一千点人力贡献。
Reduces the damage you receive from a failed labour attempt.{LF}Doubles your manpower contribution.	减少你因劳动失败而受到的伤害。{LF}使你的人力贡献翻倍。
With your bargain struck, you emerge from the bath and rejoin the rest of your band. {LF}{LF}In the weeks that follow, fortune favours you most heavily, giving you the weather you need when you need it, and plaguing your enemies with hordes of monsters that give you a wide berth. Your larders overflow and your people are comfortable. {LF}{LF}There can be no question that some unseen hand guides your movements, and as word spreads and your influence and numbers grow, you eventually come to be known far and wide as the one destined to rule over Lukatt. {LF}{LF}	交易达成后，你从浴池中起身，重新与你的同伴会合。{LF}{LF}接下来的几周里，好运格外眷顾你，在你需要时赐予适宜天气，而你的敌人则饱受怪物侵扰，这些怪物却对你避而远之。你的粮仓充盈，子民安居乐业。{LF}{LF}毫无疑问，有只无形之手在指引你的行动。随着消息传开，你的影响力与追随者与日俱增，最终你被广泛认为是命中注定要统治卢卡特的真命天子。{LF}{LF}
HUNT improves the frequency and power of critical hits with both weapons and magic,{LF}as well as improving your combat initiative. Improving HUNT grants 2hp.	狩猎技能提升武器和魔法暴击的频率与威力，{LF}并提高你的战斗先攻权。提升狩猎技能可恢复2点生命值。
Whenever you fully ward a spell, the enemy who cast it immediately gains the 'Fumble' status.	当你完全抵御某个法术时，施法敌人会立即陷入“失手”状态。
Quit	退出
Adds temporary 'Invulnerable' status when you first start bleeding.	首次开始流血时获得临时“无敌”状态。
Your carrying load increases by one. Stacks with 'Mule' and 'MagicBag'.	你的负重上限增加一点。效果可与“骡子”和“魔法袋”叠加。
Your broken zombie is barely able to follow, but you manage to pick your way across the crags to the mouth of the cave.	你受损的僵尸勉强能跟上脚步，但你仍设法攀过岩礁，抵达洞穴入口。
Merchants come and go, so check back at your stronghold regularly {LF}to see if the selection has changed.	商人往来频繁，请定期回要塞查看{LF}货物是否更新。
Equipment with the Wasting trait will slowly erode your hit points in combat.	带有“损耗”特性的装备会在战斗中缓慢消耗你的生命值。
will be overwritten.	将被覆盖。
The description of the location. Make this a little bit longer.	地点的描述。请再写详细些。
You create a potion whenever you complete a weave challenge {LF}with a 'Good' or better result.	当你在织法挑战中取得“良好”或更高评价时，{LF}即可炼制一瓶药水。
You can attempt weave challenges.	你可以尝试织法挑战。
WEAVE is used to perform magical or academic tasks. {LF}Requires skill ”RITUALIST” to attempt. Improving WEAVE grants 2hp.	织法用于施展魔法或完成学术任务。{LF}需具备“仪式师”技能方可尝试。提升织法可恢复2点生命值。
Food is plentiful and cheap, so use it when you need it.	食物充裕且价廉，需要时请随意使用。
head in disbelief.{LF}{LF}”Leviathan? Is that why they push prisoners in on small boats from a distance, why they don't care if you get out of the stocks? And this Leviathan, it sank our ship, but didn't kill any of us. What is it doing?”	难以置信地摇头。{LF}{LF}“利维坦？所以他们才用小船从远处把囚犯推进去？才不在乎你是否挣脱枷锁？而这利维坦，它弄沉了我们的船，却没杀任何人。它到底想干什么？”
Allies Trusted :	可信盟友：
Sleeping quarters will be positioned mindful of existing props.	宿舍将根据现有道具布局进行规划。
Creating a new map will discard current map!	创建新地图将丢弃当前地图！
New Hero {LF}Convicted of Murder	新英雄{LF}谋杀罪名成立
All risk is eliminated when a new combat round starts.	新战斗回合开始时所有风险清零。
New Save File{LF}-{LF}Press and Hold to Save{LF}-	新建存档{LF}-{LF}长按保存{LF}-
You can either have your new recruit wait at the entrance, or join your party immediately.	新成员可选择在入口等候或立即加入队伍。
Basis for newly discovered area levels	新发现区域等级的基准
Start New Character	创建新角色
Choose the allegation.	选择指控罪名。
negotiate for ransom, or try to recruit the enemy?	协商赎金，还是尝试招募敌人？
Successful ransom attempts can grant many rare and high quality items.	成功索要赎金可获得多种稀有高品质物品。
Greatly improves the success rate of ransom attempts.	大幅提高索要赎金的成功率。
It is slow going with	进展缓慢
ongoing damage.	持续伤害。
Manpower is important! {LF}Keep improving it in order to take larger strongholds and recruit more people.	人力至关重要！{LF}持续提升以占领更大据点和招募更多人员。
is right.{LF}{LF}You and the others pack up whatever salvage you can carry to prepare for the trip back to your stronghold.	说得对。{LF}{LF}你与同伴收拾好能携带的物资，准备返回据点。
Normalizing will revert all variations and convert to selected theme.	标准化将还原所有变体并转换为选定主题。
has been successfully created.	已成功创建。
escaped from combat.	已逃离战斗。
You never hesitate in combat.	你在战斗中从不犹豫。
Something went wrong with the combat log action	战斗记录操作出现错误
You restore some health whenever a combatant dies.	每当有战斗人员死亡时，你恢复少量生命值。
You regenerate some health whenever a combatant dies, {LF}and you regenerate some health whenever your normal attacks deal damage.	战斗人员死亡时恢复生命值，{LF}普通攻击造成伤害时也会恢复生命值。
Party movement speed out of combat	非战斗状态下队伍移动速度
Out-of-combat movement speed and inventory positioning {LF}can be adjusted in the options menu.	非战斗移动速度与物品栏布局{LF}可在选项菜单中调整。
Not during combat!	战斗期间不可用！
Your health regenerates quickly while you are in combat.	战斗期间你的生命值快速恢复。
Increases physical damage proportional to your Fight statistic.	根据你的战斗属性按比例提升物理伤害。
Delete selected map	删除选定地图
Clears all temporary status effects. Effects caused by equipment are ignored.	清除所有临时状态效果。装备效果不受影响。
The Reanimated Guard stands ready to defend you as you make your escape.	复生的守卫随时准备在你撤离时提供掩护。
You build a fire in the burrow and warm your bones for the first time in days, but it is small comfort.{LF}{LF}Though you have managed to escape the prison proper, Lukatt is an island. The only true escape would be by boat, and even if you do manage to secure passage, the still-painful brand upon your neck marks you as	你在洞中生火，连日来首次感受到暖意，但这安慰转瞬即逝。{LF}{LF}虽已逃出监狱，但卢卡特是座孤岛。真正的逃脱唯有依靠船只——即便能找到船只，你颈上仍在作痛的烙印也昭示着...
Total Playtime :	总游戏时长：
Doubles the physical bonus of your equipped weapon.	使装备武器的物理加成翻倍。
Doubles the protection bonus of your equipped armour.	使装备护甲的防护加成翻倍。
Keep a blacksmith in your stronghold in order to improve your equipment.	在据点安置铁匠以强化装备。
The ”threat” and ”critical” equipment traits {LF}improve the frequency and severity of critical hits.	“威慑”与“致命”装备特性{LF}能提升暴击频率与强度。
The ”physical” and ”magical” equipment traits {LF}improve damage dealt in combat.	“物理”与“魔法”装备特性{LF}可增强战斗中的伤害输出。
exists.	存在。
Many puzzles require items from different maps to complete.{LF}If you get stuck, try exploring elsewhere and coming back later.	多数谜题需要不同地图的物品才能完成。{LF}若卡关，可尝试探索其他区域后再回来。
stages{LF}	阶段{LF}
Value. Adds to the user's per-turn movement range.	数值。增加使用者每回合的移动范围。
Value. Adds to the user's carrying capacity.	数值。增加使用者的负重能力。
Value. Adds to the reach of physical attacks.	数值。增加物理攻击的距离。
I know not	我不知道
You can attempt negotiation with any creature, regardless of intelligence.	无论智力高低，你可以尝试与任何生物进行谈判。
You can attempt negotiation with any creature, regardless of intelligence.{LF}Increases your manpower contribution by an amount equal to your level times your band size.	无论智力高低，你可以尝试与任何生物进行谈判。{LF}根据你的等级和队伍规模乘积增加人力贡献。
Unintelligent enemies will drop food if you strike the deathblow with a weapon.	当你用武器给予致命一击时，无智力的敌人会掉落食物。
A woman in a brown hooded robe steps up to the bars and begins working with the lock. {LF}{LF}”I'm Sister Borgnina. I heard whispers of this place being cruel, but I never imagined it was really this bad. Nobody deserves to be treated like this, even if you are	"一个穿着棕色兜帽长袍的女人走到铁栏前，开始撬锁。{LF}{LF}""我是博格尼娜修女。我听说过这个地方很残酷，但没想到真的这么糟糕。没有人应该受到这样的对待，即使你是"
Neutral{LF}You understand that rules are subject to interpretation, and not necessarily iron-clad.{LF}You can get along with just about anybody, with a little effort.	中立{LF}你明白规则是可以被解释的，并非一成不变。{LF}只要稍加努力，你几乎能与任何人相处。
Line of sight to neutral creatures will not cause them to become hostile.	中立生物的视线不会引发它们的敌意。
Neutral people contribute their utility score squared as manpower.	中立者贡献其效用值的平方作为人力。
You can't leave the area while your party is separated!	当你的队伍分散时，你无法离开该区域！
avoided a fumble due to comradery!	因队友情谊避免了失误！
A very tall orc with a long and well-kept beard steps up to the bars and gets to work unlocking your cell.{LF}{LF}”I am Vankan, stranger. I've been here quite some time, but I took advantage of the commotion of the new arrivals to steal some keys. I got the one for my cell, and apparently the one for yours.”{LF}{LF}The lock clicks and the door swings open, and you can see that Vankan has made an attempt to make himself presentable, despite being clothed in tattered furs.{LF}{LF}”And now, we're both free. Comparitively, anyway. We've still got to get out of the compound. I can cast a few spells if you... what do you do, exactly?”	一个留着长而整洁胡须的高大兽人走到铁栏前，开始打开你牢房的锁。{LF}{LF}“我是万坎，陌生人。我在这里待了很长时间，但趁着新来者引起的骚乱偷了些钥匙。我拿到了自己牢房的钥匙，显然还有你的。”{LF}{LF}锁咔哒一声打开，门应声而开，你可以看到万坎尽管穿着破旧的毛皮，还是尽力让自己显得体面。{LF}{LF}“现在我们都自由了。相对而言吧。我们还得离开这个设施。如果你...你具体是做什么的？”
Press and Hold to Load File	长按加载文件
Press and Hold to Save File	长按保存文件
Needs a rare key. You have	需要稀有钥匙。你有
You manage to lose pursuing guards within the space of an hour, but there is little time to celebrate your new freedom. Night is beginning to fall, and a chill fog is settling over the land. In the receding twilight, you manage to spot the mouth of a cave. {LF}{LF}It is no luxury, to be sure, but it is a good deal more appealing than the cell you left behind, and you have little choice if you want to survive the night. {LF}{LF}	你在一个小时内成功甩掉了追捕的守卫，但几乎没有时间庆祝新获得的自由。夜幕开始降临，寒冷的雾气笼罩着大地。在渐暗的暮色中，你发现了一个洞穴的入口。{LF}{LF}这当然算不上豪华，但比你离开的牢房要吸引人得多，而且如果你想熬过这个夜晚，几乎没有其他选择。{LF}{LF}
You have additional hit points.	你拥有额外的生命值。
Needs an ordinary key. You have	需要普通钥匙。你有
Your normal, unarmed attacks are made at range.	你的普通徒手攻击可在远距离进行。
Your normal attacks do additional damage.	你的普通攻击造成额外伤害。
Your normal attacks entangle your enemies.	你的普通攻击会束缚敌人。
Your normal attacks daze your enemies.	你的普通攻击会使敌人眩晕。
You take less damage from normal attacks.	你受到的普通攻击伤害减少。
Your normal attacks generate risk in your targets.	你的普通攻击会在目标身上产生风险值。
Your normal attacks inflict nexus in your enemies.	你的普通攻击会给敌人施加连接状态。
Your normal attacks inflict pain in your enemies.	你的普通攻击会给敌人带来痛苦。
Your normal attacks inflict poison in your enemies.	你的普通攻击会使敌人中毒。
Your normal attacks affect all adjacent foes.	你的普通攻击会影响所有相邻的敌人。
Your normal attacks are easier for your enemies to dodge.	敌人更容易躲避你的普通攻击。
resists!	抵抗了！
You do not generate risk while moving, even when enemies are nearby.	即使敌人在附近，移动时也不会产生风险值。
Your weapon attacks cannot kill enemies unless they are already near death.{LF}Greatly improves the success rate of conscription attempts.	除非敌人已濒临死亡，否则你的武器攻击无法杀死他们。{LF}大幅提高征兵尝试的成功率。
You can cast the spell 'Arcus' when enemies are outside of weapon range. {LF}Arcus can be influenced by the mana of equipped weapons.	当敌人在武器射程外时，你可以施放“弧光”法术。{LF}弧光会受到装备武器的法力影响。
You can try to conscript enemy creatures into your party when they hesitate in combat.	当敌人在战斗中犹豫不决时，你可以尝试将其征召入队。
Your enemies' risk dramatically increases whenever you evade their physical attacks.	每当你成功躲避敌人的物理攻击时，他们的风险值会大幅增加。
Enemies fumble and lose defensive stance whenever they fully ward against your spells.	当敌人完全抵挡你的法术时，他们会失误并失去防御姿态。
Enemies Spared :	放过的敌人：
Record your aptitude	记录你的资质
Roster limit is 200	名单上限为200人
Enemies Killed :	击杀的敌人：
Unification will preserve variations and convert to selected theme.	统一将保留变体并转换为所选主题。
Behavior was not successfully changed	行为更改未成功
You can attempt to negotiate with animals.	你可以尝试与动物谈判。
You need special skills in order to negotiate with animals or mindless creatures.	与动物或无心智生物谈判需要特殊技能。
